"Study #","Authors","Excluded?","Medium","Method","Collection equipment","Equip Length (mm)","Equip Diam (mm)","Climate","Year (publication)","Year (sampling)","Habitat Sampled","Site names","Spatial level","Spatial separation (m)","n","Inorganic C %","Carbonate  (%DW)","% mud (""silt & clay"", <63um)","DBD (Dry Bulk Density (g mL-1) = g (cm-3))","Corg (% DW)","Variance type(s)","InorgC var","Carb var","%mud var","DBD var","Corg var","Dating?","SAR (linear)","SAR units","SAR variance","SAR variance type","Sed MAR (mass)","Sed MAR units","MAR variance","MAR variance type","C donor isotope signatures","Core depth (m)","Core depth midpoint (m)","% Mangrove","% Seagrass","% Macroalgae","% saltmarsh","%Epiphytes/MPB","% Plantkon","% SPOM","% Terrestrial","AutochReported","AllochReported","%Tricho","Coral","Sewage","SUM","Autochthonous","Autoch_var","Allochthonous","Variance Type","% MNG Var","% SGR Var","% MAC Var","%EPIP Var","% PLK Var","% Tricho Var","%saltmarsh Var","%SPOM var","% Terrestrial var","Autochth. % var","Allochth. % var","Coral % Var","Sewage % Variability","OCsource_C13","OCsource_N15","OCsource_CN","OCsource_CPratio","OCsource_eDNA","OCsource_lipids","OCsource_lignin","No. source markers","End-members attempted","End-members reported","Attempted vs reported differences","Analysis method","Analysis method (detail)","Location","Nation","Lat (decimal)","Long (decimal)","Water depth (m)","SST min (C)","SST mean (C)","SST max (C)","Salinity","Salinity units","Macrophyte composition","Epiphyte composition","Seascape context","Habitat area data?","OC source marker measured","Source analysis notes","Notes","Data","Seston/SPOM"
77,"Ortega et al. 2020",NA,"sediment","coring","Syringe","10mL",NA,"Tropical",2020,NA,"Mangrove","Red Sea","Among sites",15000,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Published data (Garcias-Bonet et al. 2018)","0-0.01",0.005,41.51,16.67,18.67,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,46.34,41.51,16.5,58.49,"95% CL",16.5,12.07,17.63,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model (SimmR)","SIMMR","Red Sea","Saudi Arabia",22,41,NA,NA,NA,NA,NA,NA,"Avicennia marina",NA,NA,NA,"Stable isotopes (C13 & N15)","2 isotope, 4 member Bayesian SIMM","Study suggests eDNA proportions map to mixing model results from isotopes",NA,NA
77,"Ortega et al. 2020",NA,"sediment","coring","Syringe","10mL",NA,"Tropical",2020,NA,"Mangrove","Red Sea","Among sites (eDNA)",15000,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Collected eDNA sequences from seagrass & mangrove habitats (included macroalgae)","0-0.01",0.005,72.5,6,15.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,24.5,72.5,30.5,27.5,"SE",30.5,4,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,48,4,NA,"Biomarker rel. abund./ratio","""relative eDNA abundance"" in sediment","Red Sea","Saudi Arabia",22,41,NA,NA,NA,NA,NA,NA,"Avicennia marina",NA,NA,NA,"eDNA","""relative eDNA abundance"" in sediment","Study suggests eDNA proportions map to mixing model results from isotopes",NA,NA
84,"Rani et al. 2021",NA,"sediment","coring","Push Corer","500","46","Tropical",2021,NA,"Mangrove",NA,"Among sites",7000,3,0.136066666666667,NA,46.7733333333333,0.683333333333333,0.506966666666667,"SD",0.0603929079721563,NA,NA,0.275922694487665,0.381802990210047,"Pb210ex, Cs137 gamma",NA,NA,NA,NA,0.203333333333333,"g/cm2/yr",0.205020324195757,"SD","Published values: mangrove & phytoplankton","0-0.5",0.25,56.9666666666667,NA,NA,NA,NA,43.0333333333333,NA,NA,NA,NA,NA,NA,NA,43.0333333333333,56.9666666666667,6.74190873071813,43.0333333333333,"SD",6.74190873071813,NA,NA,NA,6.74190873071817,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,NA,"Linear mixing model","Iso-error","Kerala","India",9.867061,76.315269,"0.5",NA,NA,NA,NA,NA,"Avicennia officinalis, Rhizophora",NA,"Industrial area (seafood)","Yes (Figure 1)","Stable isotopes (C13 & N15)","1 isotope, 2 member mixing model (Iso-error calculator)",NA,NA,NA
85,"Ray & Shahraki 2016",NA,"sediment","surface scrape","Spoon","Not described","Not described","Temperate",2016,"2011-2012","Mangrove",NA,"Among sites",3340000,2,NA,NA,NA,NA,0.775,"SD",NA,NA,NA,NA,0.0353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove leaves, microphytobenthos, SPOM, phytoplankton","0",0,63,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,37,63,52.3259018078045,37,"SD",52.3259018078045,NA,NA,52.3259018078045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,4,2,"Only 2 classes reported","Linear mixing model","Mass-based mixing models (Ray et al. 2015)","Persian Gulf","Iran",26.8,55.75,NA,19.8,NA,35.5,NA,NA,NA,NA,NA,NA,"Stable isotope (C13) & C:N ratio","mass-based mixing models (Ray et al. 2015)",NA,NA,NA
87,"Ye et al 2023",NA,"sediment","coring","Auger","300","50","Tropical",2023,"2022","Mangrove",NA,"Among sites",10,2,NA,NA,13.1725,NA,0.33125,"SD",NA,NA,10.4899290989024,NA,0.183494209717909,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local mangrove roots and leaves, terrestrial soils and marine organisms from the literature (Table 1)","0-0.3",0.15,16.775,NA,NA,NA,NA,NA,70.725,12.5,NA,NA,NA,NA,NA,83.225,16.775,9.934850275671,83.225,"SD",9.934850275671,NA,NA,NA,NA,NA,NA,16.0159685938753,6.08111831820431,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Bayesian Mixing Model","MixSIAR","Shenzhen Bay Sth China","China",22.504917,113.960639,"2.9-7",NA,NA,NA,NA,NA,"Kandelia candel and Sonneratia apetala",NA,"transect across bay from creek to mangroves into mudflats",NA,"Stable isotope (C13)","MixSIAR model","values are averages of cores taken before and after rainfall","Table 2, Figure 7",NA
89,"Huang et al 2023",NA,"sediment","coring","Not described","1000",NA,"Temperate",2023,"2019","Mangrove",NA,"Among sites",12000,2,NA,NA,NA,0.9,1.95,"SD",NA,NA,NA,0,0.353553390593273,"Pb210 gamma Ra226",NA,NA,NA,NA,NA,NA,NA,NA,"leaves of S. alteriflora, K. obovata, POM","1",0.5,15.9018,NA,NA,6.15145,NA,NA,78.0142,NA,NA,NA,NA,NA,NA,84.16565,15.9018,1.18228253814391,84.0982,"SD",1.18228253814391,NA,NA,NA,NA,NA,8.21636866535333,6.81792358420069,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR","Yueqing Bay","China",28.2131,121.1553,NA,NA,NA,NA,NA,NA,"Kandelia candel",NA,"examines change in input due to planting of mangroves and introduction of pest grass on two islands and adjacent mudflats",NA,"Stable isotope (C13, N15) C:N ratio","C13, N15 C/N SIMMR Bayesian",NA,NA,NA
90,"Saavedra-Hortua et al. 2023",NA,"sediment","sediment traps","sediment traps","150","70","Temperate",2023,"2017","Mangrove","Gulf St Vincent - Port Wakefield","Within site",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local tissues of mangrove, seagrass, terrestrial plants, macroalgae (Hormosira, Ulva), saltmarsh","0",0,25.2,17.133,29.7,6.367,NA,12.167,NA,9.4,NA,NA,NA,NA,NA,74.767,25.2,11.846,74.8,"SD",11.846,6.667,6.795,NA,0.808,NA,1.401,NA,0.721,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,6,6,NA,"Bayesian Mixing Model","MixSIAR","South Australia","Australia",-34.05,138.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","2 isotope, 6 sources, MixSIAR Bayesian",NA,NA,NA
91,"Bala Krishna Prasad & Ramanathan 2009",NA,"sediment","surface scrape","Not described",NA,NA,"Tropical",2009,"2004","Mangrove","Pichavaram","Among sites",300,5,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Avicennia & Rhizophora leaves, SPOM, macroalgae","0",0,58.9,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,58.9,7.4,41.1,"SD",7.4,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Linear mixing model","Pichavaram estuary","India",11.416667,79.783333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figure 1",NA,NA,NA,NA,NA
94,"Chynel et al 2022",NA,"sediment","coring","Push Corer","Not described",NA,"Tropical",2022,"2018","Mangrove","Ilha Grande Bay","Among sites",66000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local leaves and SPOM (per site)","0-0.09",0.045,65.3733333333333,NA,NA,NA,NA,NA,34.6333333333333,NA,NA,NA,NA,NA,NA,34.6333333333333,65.3733333333333,27.4744905927905,34.6266666666667,"SD",27.4744905927905,NA,NA,NA,NA,NA,NA,27.4751857743188,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,0,2,"Did not conduct mixing model","Not conducted/described","Not conducted","Rio de Janeiro","Brazil",-23.0614,-43.938,NA,NA,NA,NA,NA,NA,"A. shaueriana, R. mangle",NA,NA,NA,NA,"Also explored lipids, but no mixing model/source analysis","Calculated by IsoError by using 13C and/or 15N values for the site (soil, leaves, SPOM)",NA,NA
109,"Torgersen & Chivas 1985",NA,"sediment","coring","Piston Corer","1000",NA,"Tropical",1985,"1982","Mangrove","Hinchinbrook","Among sites",330,8,NA,NA,NA,NA,1.65857142857143,"SD",NA,NA,NA,NA,0.594710814077693,"Pb210",0.57,"cm/yr",0.232379000772445,"SD",NA,NA,NA,NA,NA,"0-0.1",0.05,65.8571428571429,NA,NA,NA,NA,NA,34.1428571428571,NA,NA,NA,NA,NA,NA,100,65.8571428571429,13.3719678360937,34.1428571428571,"SD",13.3719678360937,NA,NA,NA,NA,NA,NA,13.3719678360937,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Mixing model","Queensland","Australia",-18,146.166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial end-member 13C -27 matches mangroves for this region",NA,NA,NA
2,"Krause et al 2022",NA,"Sediment","coring","Vibracores",NA,NA,"Temperate",2022,"2016-2018","Saltmarsh",NA,"Among sites",4300,2,NA,NA,NA,NA,5.6,"SD",NA,NA,NA,NA,5.57200143574999,"Cs137 and Pb-210ex gamma",0.285,"cm/yr",0.247487373415292,"SD",0.26,"g/cm2/yr",0.240416305603426,"SD","seagrass, saltmarsh plants, plankton, macroalgae","0.2-1.7",0.95,NA,5,5,38,NA,52,NA,NA,NA,NA,NA,NA,NA,100,38,6,62,"95%CI",NA,NA,NA,NA,9,NA,6,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,5,5,"Two plant groups combined in Satlmarsh source grouping here","Bayesian Mixing Model","MixSIAR","Baja California","Mexico",30.416,-116,"0",NA,NA,NA,NA,NA,"Ulva, Zostera marina, Spartina foliosa, Salicornia pacifica",NA,"Hypersaline Lagoon, saltmarsh surrounds","Yes (Figure 1)","Stable isotopes (C13 & N15)",NA,NA,NA,NA
14,"Ward et al 2021",NA,"Sediment","coring","Push Corer","200","51","Temperate",2021,"2017","Saltmarsh",NA,"Among sites",179000,2,NA,NA,86.6666666666667,0.71,4.5,"SD",NA,NA,9.29157324317757,0.122882057274446,0.754983443527075,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass, saltmarsh, SPOM","0-0.2",0.1,NA,4.95,NA,9.75,NA,NA,85.25,NA,NA,NA,NA,NA,NA,99.95,9.75,3.04055915910216,90.25,"SD",NA,0.212132034355964,NA,NA,NA,NA,3.04055915910216,3.18198051533946,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","SIAR 4.2","California","USA",38,-120.5,NA,NA,NA,NA,NA,NA,"Sarcocornia, Distichlis, Jaumea",NA,NA,NA,"Stable C13 & C:N ratio","13C and C:N ratios with Bayesian mixing model (SIAR 4.2)","%MUD vs TOM correl (Fig. 4)","Figure 7 and Table S2",NA
15,"Martins et al 2022",NA,"Sediment","coring","Push Corer","1600","48","Temperate",2022,"2017","Saltmarsh",NA,"Among sites",780,4,NA,NA,42.5230456962719,NA,1.30631974597953,"SD",NA,NA,26.5051524689807,NA,0.493074057707847,"Historical reconstruction",0.106285778289791,"cm/yr",0.106285778289791,"SD",NA,NA,NA,NA,"Seagrass, microphytobenthos, macroalgae and SPOM","0-1.32",0.66,NA,6.26,14.21,6.26,22.69828661,NA,50.57,NA,NA,NA,NA,NA,NA,99.99828661,6.26,NA,93.74,"SD",NA,1.79,5.35924728793502,2.27458894488721,NA,NA,1.79,5.27,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,5,NA,"Bayesian Mixing Model (SimmR)","SimmR","Ria Formosa","Portugal",36.983051,-7.888546,NA,NA,NA,NA,NA,NA,"Sporobolus maritmus",NA,"Coastal lagoon system boasts peninsulas, barrier islands, and inlets. Tidal-driven with diverse ecosystems, it faces challenges like nitrogen loads, dredging, and clam digging impacts in its expanse",NA,"Stable isotopes (C13 & N15)","Two isotopes, four sources, SimmR","The median flow velocity at each station was 0.34 m s-18","Fig 2",NA
18,"Bulmer etal 2020",NA,"sediment","coring","Piston corer",NA,"38","Temperate",2020,"2016","Saltmarsh","Tairua estuary","Within site",NA,9,NA,NA,56.31,0.54,3.88888888888889,"SD",NA,NA,0.2295,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1",0.05,28,3,NA,34,NA,NA,36,NA,NA,NA,NA,NA,NA,73,34,14,66,"SD",24,2,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,4,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Tairua estuary","New Zealand",-37.01667,175.85,NA,NA,NA,NA,NA,NA,"Juncus kraussii",NA,"Estauary total area 660Ha","41.7 Ha Saltmarsh",NA,"SIMMR mixed models","Organic carbon stocks in above ground biomass and sediment to 100 cm was highest in saltmarsh (90 t ha–1), followed by mangrove (46 t ha–1), to seagrass (27 t ha–1) and unvegetated habitats (26 t ha–1). Organic carbon varied with depth between habitats, with the majority of differences occurring in the top 20 to 30 cm of the sediment column","Table 2","Reported seston, moved to SPOM"
23,"Ding et al. 2022",NA,"sediment","coring","Push Corer","800","100","Temperate",2022,NA,"Saltmarsh",NA,"Among sites",192000,7,NA,NA,NA,NA,0.797952736694678,"SD",NA,NA,NA,NA,0.48236171856509,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local phytoplankton, mangrove, estuary POM, saltmarsh/terrestrial plant material","0-0.8",0.4,NA,NA,NA,24.1428571428571,NA,43.2857142857143,NA,36.8571428571429,NA,NA,NA,NA,NA,104.285714285714,24.1428571428571,9.0999738356505,75.8571428571429,"SD",NA,NA,NA,NA,16.8791220715048,NA,9.0999738356505,NA,23.4835301962075,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","MixSIAR","Bohai Sea","China",40.58,122.19,NA,NA,NA,NA,18,"ppt","Phragmites australis",NA,NA,NA,"Stable isotopes (C13 & N15)","Bayesian Mixing Model (MixSIAR)",NA,NA,NA
28,"Gebrehiwet et al. 2008",NA,"sediment","coring","Auger",NA,NA,"Temperate",2008,"2006","Saltmarsh",NA,"Among sites",70,3,NA,NA,NA,NA,4.27,"SD",NA,NA,NA,NA,0.525071423713003,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytoplankton and saltmarsh plants","0.5",0.25,NA,NA,NA,24.6666666666667,NA,75.3333333333333,NA,NA,NA,NA,NA,NA,NA,100,24.6666666666667,1.52752523165195,75.3333333333333,"SD",NA,NA,NA,NA,0.577350269189626,NA,1.52752523165195,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,"Two plants merged into Saltmarsh source class here","Linear mixing model","Linear mixing model (Dai & Sun 2007)","Georgia","USA",32.5,-81.2,NA,NA,NA,NA,NA,NA,"Sparta, Spartina",NA,"salt marsh area  3 sites dominated by slatmarsh plants and one unvegetated",NA,"Stable isotope (C13 and C/N)","Linear mixing model","although one site unvegetated no real difference in sources of OM","Table 3 used values associated with calculations with  'a' superscipt",NA
44,"Gorham et al. 2021",NA,"sediment","coring","Push Corer","1500","75","Temperate",2021,NA,"Saltmarsh","Estuaries - Fluvial","Among sites",72000,10,NA,0.5,48,0.8,7.1,"SD",NA,NA,0.395284707521047,0.197642353760524,1.26491106406735,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarcocornia quinqueflora, Juncus kraussii, Eucalyptus, Melaleuca, Sporobolus, Samolus, Suaeda","0-1.0",0.5,NA,NA,NA,80.5,NA,NA,NA,NA,NA,19.5,NA,NA,NA,100,80.5,3.75,19.5,"95%CI",NA,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Western Australia","Australia",-34,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotopes (C13 & N15)","Delineated two groups (autoch. Depleted C13 & alloch. Enriched C13) in Two-isotope, two-source mixing models (R simmr & rjags)","High compaction (40%) at many sites",NA,NA
44,"Gorham et al. 2021",NA,"sediment","coring","Push Corer","1500","75","Temperate",2021,NA,"Saltmarsh","Estuaries - Intermediate","Among sites",72000,9,NA,5,46,0.87,6.15,"SD",NA,NA,5.25,0.1875,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarcocornia quinqueflora, Juncus kraussii, Eucalyptus, Melaleuca, Sporobolus, Samolus, Suaeda","0-1.0",0.5,NA,NA,NA,76.5,NA,NA,NA,NA,NA,23.5,NA,NA,NA,100,76.5,4.75,23.5,"95%CI",NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Western Australia","Australia",-34,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotopes (C13 & N15)","Delineated two groups (autoch. Depleted C13 & alloch. Enriched C13) in Two-isotope, two-source mixing models (R simmr & rjags)","High compaction (40%) at many sites",NA,NA
44,"Gorham et al. 2021",NA,"sediment","coring","Push Corer","1500","75","Temperate",2021,NA,"Saltmarsh","Estuaries - Marine","Among sites",72000,8,NA,28.25,27.5,1.205,2.25,"SD",NA,NA,0.565685424949238,0.113137084989848,5.30330085889911,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarcocornia quinqueflora, Juncus kraussii, Eucalyptus, Melaleuca, Sporobolus, Samolus, Suaeda","0-1.0",0.5,NA,NA,NA,57,NA,NA,NA,NA,NA,43,NA,NA,NA,100,57,11.25,43,"95%CI",NA,NA,NA,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Western Australia","Australia",-34,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotopes (C13 & N15)","Delineated two groups (autoch. Depleted C13 & alloch. Enriched C13) in Two-isotope, two-source mixing models (R simmr & rjags)","High compaction (40%) at many sites",NA,NA
55,"Santos et al. 2019",NA,"sediment","coring","Syringe","50mL",NA,"Temperate",2019,"2014","Saltmarsh",NA,"Among sites",400,4,NA,NA,NA,NA,2.25,"SD",NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POM, Spartina maritima, Zostera noltei, green macroalgae, microphytobenthos","0-0.05",0.025,NA,3.3,3.2,4.5,49,NA,38,NA,NA,NA,NA,NA,NA,98,4.5,6,95.5,"95%CI",NA,4.5,4,16,NA,NA,6,4.5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,5,NA,"Bayesian Mixing Model (SimmR)","SimmR","Faro Inlet","Portugal",36.99,-7.88,NA,NA,NA,NA,NA,NA,"Spartina maritima",NA,NA,NA,"Stable isotopes (C13 & N15)","Two-isotope, five-source mixing models (R simmr)","Pearson's r  0.59 (% clay and sed OM)",NA,NA
89,"Huang et al 2023",NA,"sediment","coring","Not described","1000",NA,"Temperate",2023,"2019","Saltmarsh",NA,"Among sites",12000,2,NA,NA,NA,0.95,1.95,"SD",NA,NA,NA,0.0707106781186547,0.212132034355964,"Pb210 gamma Ra228",NA,NA,NA,NA,NA,NA,NA,NA,"leaves of S. alteriflora, K. obovata, POM","1",0.5,6.5316,NA,NA,11.9218,NA,NA,81.52505,NA,NA,NA,NA,NA,NA,93.44685,11.9218,0.616455691838431,88.0782,"SD",1.02841610255772,NA,NA,NA,NA,NA,0.616455691838431,0.441871027563481,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR","Yueqing Bay","China",28.2195,121.1712,NA,NA,NA,NA,NA,NA,"Spartina alterniflorus",NA,"examines change in input due to planting of mangroves and introduction of pest grass on two islands and adjacent mudflats",NA,"Stable isotope (C13, N15) C:N ratio","C13, N15 C/N SIMMR Bayesian",NA,NA,NA
90,"Saavedra-Hortua et al. 2023",NA,"sediment","sediment traps","sediment traps","150","70","Temperate",2023,"2017","Saltmarsh","Gulf St Vincent - Rushy Isl","Within site",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local tissues of mangrove, seagrass, terrestrial plants, macroalgae (Hormosira, Ulva), saltmarsh","0",0,17.567,NA,NA,26.267,NA,25.933,NA,30.3,NA,NA,NA,NA,NA,82.5,26.267,8.488,73.733,"SD",4.852,NA,NA,NA,7.697,NA,8.488,NA,20.781,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,6,4,"Only four classes reported","Bayesian Mixing Model","MixSIAR","South Australia","Australia",-35.466667,138.766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","2 isotope, 6 sources, MixSIAR Bayesian",NA,NA,NA
96,"Drexler et al 2020",NA,"sediment","coring","Hargis corer","Not described",NA,"Temperate",2020,"2015-2017","Saltmarsh","Natural Reference","Among sites",1000,2,NA,NA,NA,NA,19.625,"SD",NA,NA,NA,NA,4.67397582364308,"Pb210 gamma",0.3634,"cm/yr",0.0673165655689594,"SD",NA,NA,NA,NA,"Local saltmarsh & terr plants & seagrass, POM considered mostly phytoplankton","0-0.08",0.04,NA,1.425,NA,81.945,NA,2.735,9.49,4.405,NA,NA,NA,NA,NA,100,81.945,10.3449722087592,18.055,"SD",NA,1.19501046020527,NA,NA,2.83549819255806,NA,10.3449722087592,6.81650937063832,0.502045814642449,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,9,5,"We grouped multiple phytoplankton & SPOM categories for alignment with other studies","Bayesian Mixing Model (SimmR)","SimmR","Washington","USA",47.079997,-122.7,NA,NA,NA,NA,NA,NA,"Carex lyngbyei, Distichlis spicata, Potentilla anserina",NA,"Natural",NA,"Stable isotopes (C13 & N15)","Bayesian SIMMR on 9 source groupings","S34 considered, but insufficient biomass for some source samples, considered impact of diagenesis",NA,NA
96,"Drexler et al 2020",NA,"sediment","coring","Hargis corer","Not described",NA,"Temperate",2020,"2015-2017","Saltmarsh","Restoring","Among sites",1000,2,NA,NA,NA,NA,2.39,"SD",NA,NA,NA,NA,0.0282842712474619,"Pb210 gamma",0.8647,"cm/yr",0.104651803615609,"SD",NA,NA,NA,NA,"Local saltmarsh & terr plants & seagrass, POM considered mostly phytoplankton","0-0.06",0.03,NA,1.995,NA,23.73,NA,9.73,38.37,26.175,NA,NA,NA,NA,NA,100,23.73,7.32562625309263,76.27,"SD",NA,0.898025612106914,NA,NA,6.81650937063832,NA,7.32562625309263,31.5935309834149,30.17224635323,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,9,5,"We grouped multiple phytoplankton & SPOM categories for alignment with other studies","Bayesian Mixing Model (SimmR)","SimmR","Washington","USA",47.079997,-122.7,NA,NA,NA,NA,NA,NA,"Salicornia pacifica, Spergularia",NA,"Restored",NA,"Stable isotopes (C13 & N15)","Bayesian SIMMR on 9 source groupings","S34 considered, but insufficient biomass for some source samples, considered impact of diagenesis",NA,NA
98,"Gao et al 2008",NA,"sediment","coring","Not described","200",NA,"Temperate",2008,"2004","Saltmarsh","Yancheng NPA","Among sites",1000,3,NA,NA,NA,NA,5.1,"SD",NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local saltmarsh plants","0-0.2",0.1,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,18.3847763108502,49,"SD",NA,NA,NA,NA,NA,NA,18.3847763108502,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,1,"2 sources were different saltmarsh species, which we combined into 1; other was ""external"" OM","Linear mixing model","Mass mixing model","Yancheng","China",33.55765,120.609983,NA,NA,NA,NA,NA,NA,"Spartina alterniflora, Artemisia schrenkiana",NA,NA,NA,NA,NA,NA,NA,NA
99,"Goni & Thomas 2000","Bayesian model","sediment","coring","Not described",NA,NA,"Temperate",2000,"1996","Saltmarsh","North Inlet","Within core",NA,1,NA,NA,NA,NA,4.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Spartina","0-0.12",0.06,NA,NA,NA,56.4,NA,NA,NA,43.6,NA,NA,NA,NA,NA,100,56.4,6.45,43.6,"SD",NA,NA,NA,NA,NA,NA,6.45,NA,6.45,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,"Mixing model not conducted","Not conducted/described","Not conducted","South Carolina","USA",33.333333,-79.166667,NA,NA,NA,NA,NA,NA,"Spartina",NA,NA,NA,NA,NA,"Calculated by IsoError using 13C values in Table 2 and Spartina site macro-organic soil in Table 4",NA,NA
102,"Mueller et al 2019",NA,"sediment","coring","Push Corer","50","25","Temperate",2019,"2015","Saltmarsh","Schleswig-Holstein SNK","Among sites",67500,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-0.05",0.025,NA,NA,NA,85.5,NA,NA,NA,14.5,NA,14.5,NA,NA,NA,114.5,85.5,3.18,14.5,"SD",NA,NA,NA,NA,NA,NA,3.18198051533946,NA,3.18198051533946,3.18198051533946,3.18198051533946,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,"Linear mixing model","Mixing model (Hedges et al. 1988, Belicka & Harvey 2009)","Wadden Sea","Germany",54.633333,8.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only Alloch vs Autoch calculation","Ungrazed only, belowground only",NA,NA
